O1,H1,L1,C1,V1,O2,H2,L2,C2,V2,O3,H3,L3,C3,V3,O4,H4,L4,C4,V4,O5,H5,L5,C5,V5,O6,H6,L6,C6,V6,O7,H7,L7,C7,V7,O8,H8,L8,C8,V8
286.69,288.99,286.34,288.98,3816,36405.13,36533.61,36295.44,36392.93,2591,18.025,18.025,17.771,17.859,2383,2420.4,2435.45,2407.77,2425.33,3580,15.196,15.277,15.094,15.136,2035,108.02,108.36,107.34,107.94,1193,0.19184,0.19234,0.18896,0.19024,11,0.5938,0.5972,0.5928,0.5961,619
289.01,289.66,287.41,288.91,3394,36391.93,36795.53,36344.54,36437.28,3089,17.858,17.931,17.646,17.789,2315,2425.42,2453.5,2421.48,2431.15,3876,15.132,15.23,15.12,15.176,1798,107.86,109.29,107.74,108.05,1084,0.19016,0.19016,0.18847,0.18847,11,0.5962,0.6044,0.5956,0.5989,834
288.91,292.74,288.5,289.56,3614,36437.28,36557.17,36298.52,36533.55,2451,17.788,17.868,17.627,17.752,2263,2431.32,2440.96,2417.44,2439.04,3989,15.175,15.372,15.147,15.328,1816,108.03,108.43,107.31,108.32,889,0.18872,0.18914,0.18852,0.18912,10,0.599,0.6017,0.5964,0.6014,776
289.56,289.76,287.21,289.01,3542,36515.55,36625.35,36230.58,36325.19,2803,17.751,17.804,17.677,17.756,2102,2439.03,2443.05,2405.06,2413.93,3739,15.321,15.419,15.299,15.301,1372,108.28,108.57,107.12,107.27,1086,0.18949,0.19183,0.18949,0.19166,9,0.6013,0.6017,0.5937,0.5946,833
288.99,289.82,286.65,287.57,3439,36316.69,36496.43,36272.07,36359.04,2492,17.755,17.947,17.679,17.899,2201,2414.34,2432.56,2413.1,2416.27,3765,15.3,15.431,15.222,15.358,1415,107.27,107.92,106.99,107.18,749,0.19177,0.19344,0.19177,0.19195,8,0.5947,0.5958,0.5937,0.5945,856
287.65,288.42,286.07,286.8,3666,36366.04,36533.74,36205.61,36489.97,2592,17.893,18.072,17.88,17.939,1832,2416.32,2441.69,2408.45,2434.38,3794,15.358,15.466,15.296,15.371,1376,107.19,108.04,106.77,107.45,770,0.19185,0.19185,0.19103,0.19171,7,0.5945,0.6047,0.5937,0.6017,928
286.78,289.91,285.81,288.86,3546,36489.97,36764.36,36445.97,36522.9,2954,17.938,18.018,17.83,17.861,1879,2434.69,2460.22,2432.37,2435.84,4166,15.37,15.383,15.161,15.168,1211,107.44,108.41,106.96,107.02,960,0.19118,0.19121,0.19012,0.19042,7,0.6017,0.6061,0.5992,0.5999,1081
288.86,291.55,287.33,287.62,3794,36522.9,36560.06,36270.97,36398.02,3210,17.862,17.936,17.73,17.85,1693,2436.13,2438.07,2404.77,2415.25,4150,15.17,15.173,14.776,14.844,1772,107.06,107.11,105.37,105.99,1209,0.19032,0.19032,0.18806,0.18806,7,0.5999,0.6002,0.5912,0.5933,1068
287.63,287.86,285.1,286.42,3847,36398.02,36548.03,36359.75,36522.45,2614,17.849,17.882,17.683,17.692,1557,2415.32,2435.03,2412.38,2434.26,3900,14.845,14.889,14.683,14.723,1637,105.89,106.85,105.89,106.84,799,0.18733,0.18795,0.18638,0.18638,8,0.5931,0.5973,0.593,0.5972,798
286.42,288.28,285.98,288.28,3169,36522.45,36894.81,36461.55,36613.6,3742,17.685,17.693,17.492,17.609,1816,2434.03,2460.96,2424.4,2430.93,4484,14.722,14.89,14.72,14.805,1399,106.81,108.41,106.7,107.14,1316,0.18653,0.18711,0.18577,0.18577,8,0.5972,0.6035,0.5957,0.5978,1173
